站点序号,经度,纬度,单站ΔM,单站ΔM/M0%,最近分配负载
2452,113.667679,22.646113,205.3199201562701,4.067737506456286,34.3
1208,113.723573,23.353179,79.56165245734539,1.576251917154764,22.05
1491,113.067488,23.423334,65.40662023338977,1.295816607036496,30.060000000000002
2129,113.414308,23.259805,62.610496192884526,1.240420624885273,25.89
2233,113.414126,23.454979,58.01437450406532,1.1493636219231758,35.29
1701,113.274771,23.584771,57.093323655696906,1.1311160350431007,18.23
573,113.786894,23.175237,31.739129714906674,0.6288062466873331,21.47
2599,113.519998,23.263103,31.23419097915089,0.6188025498598009,11.89
1857,113.271962,23.509773,31.06676462073035,0.6154855483862066,16.189999999999998
2075,113.6097,22.670051,27.09079518985194,0.5367148184628837,11.359999999999998
